district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Sangareddy,Patancheru,Pashamylaram,VAJRA TRANSPOWER PRIVATE LIMITED,Transformer repairing/ manufacturing( dry process only),Electrical and Electronic Products,0.9,19,12/07/2022,15/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,M/S.VISHWA TEJA ENTERPRISES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,1.284,7,07/07/2022,15/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Ibrahimpatnam,Adibatla,TATA BOEING AEROSPACE LIMITED,Industry or process involving'metal surface treatment orprocess such as pickling/electroplating/paint stripping/heat treatment using cyanidebath/ phosphating or finishingand anodizing / enamellings/galvanizing,Others,87.1372,530,14/04/2022,15/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Maheswaram,BHAGWATI PRODUCTS LIMITED,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,70.0,150,16/06/2022,15/07/2022,Yet to Start Construction,Yes,General
Medchal,Shamirpet,Lalgadimalakpet,M/s Enveda Therapeutics India Private Limited,Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,19.2,100,23/06/2022,15/07/2022,Yet to Start Construction,Yes,OBC
Hanumakonda,Khaazipet,Rampur,M/s SUMANJALI SEEDS & FARMS,Rice mill (Rice hullers only),Food Processing,3.6,15,26/03/2021,15/07/2022,Yet to Start Construction,Yes,General
Medchal,Medchal,Yellampet,Apna Technologies & Solutions Private Limited - Me,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.1,10,12/07/2022,15/07/2022,Yet to Start Construction,Yes,General
Hanumakonda,Dharmasagar,Dharmasagar,SRI VINAYAKA CEMENT BRICK INDUSTRY,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,6,30/06/2022,15/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Kukatpally,Kukatpally,M/S. GURUKRUPA SERVICES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.15,9,04/07/2022,15/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Kukatpally,Kukatpally,M/S. M K ENGINEERING AND SERVICES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,13,04/07/2022,15/07/2022,Yet to Start Construction,Yes,OBC
Nalgonda,Chityala,Peddakaparthy,MAHADEVA AGRO INDUSTRIES,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,2.2763,15,05/07/2022,15/07/2022,Yet to Start Construction,Yes,OBC
Khammam,Khammam (Urban),Khammam,AUTOMOTIVE MANUFACTURERS PVT LTD,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.3,50,21/06/2022,14/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Khazipur,SRIKARA GRANITES,Granite / Stone Cutting and Polishing,Others,0.275,15,12/07/2022,14/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Asifnagar,LAXMI SRI GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,15,30/06/2022,14/07/2022,Yet to Start Construction,Yes,General
Warangal,Geesugonda,Geesugonda,SRI LAXMI VENKATESHWARA BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6,05/07/2022,14/07/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Kothur,Nandigam,M/s. Lindstrom Services India Private Limited,Mechanized laundry using oil firedboiler,Others,35.0,140,28/06/2022,14/07/2022,Yet to Start Construction,Yes,General
Mahabubabad,Peddavangara,PEDDAVANGARA,RAJA RAJESWARY POWER LOOMS,Power looms (without dye and bleaching),Textiles,0.095,4,07/07/2022,14/07/2022,COMMENCED OPERATIONS,Yes,OBC
Mahabubabad,Thorrur,Velikatte,SHIVA GANGA WATER PLANT,Mineral stack yard / Railway sidings,Others,0.07,4,10/07/2022,14/07/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Hayathnagar,Ragannaguda,BSR INFRA CONCRETE,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,4,13/07/2022,14/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Maheswaram,SRI VENKATESWARA AEROSPACE PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,4.8058,20,15/06/2022,14/07/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,SHRUTHIKESH INDUSTRIES,Steel furniture without spray painting,Engineering,1.82,15,04/07/2022,14/07/2022,Yet to Start Construction,Yes,General
Medchal,Uppal,Uppal,"M/s. ESPI INDUSTRIES & CHEMICALS (P) LTD, UNIT-I",Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,5.021,1,29/06/2022,14/07/2022,Yet to Start Construction,Yes,General
Khammam,Chinthakani,Nagili Konda,VICKY PLASTIC,Reprocessing of waste plastic Including PVC,Plastic and Rubber,0.099,5,04/07/2022,13/07/2022,Yet to Start Construction,Yes,SC
Khammam,Chinthakani,Ananthasagar,SUGUNA PAPER PRODUCTS,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.07,3,28/06/2022,13/07/2022,Yet to Start Construction,Yes,SC
Bhadradri Kothagudem,Chunchupally,Chunchupalli,M/S.SRI BALAJI FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.18,10,01/07/2022,13/07/2022,Yet to Start Construction,Yes,ST
Medchal,Uppal,Nacharam,MEDCENT PHARMA,Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,0.1,8,28/06/2022,13/07/2022,Yet to Start Construction,Yes,General
Mahbubnagar,Balanagar,Mothighanapur,Divya Sai Lam Private Limited,Ply-board manufacturing (includingVeneer and laminate) with oil firedboiler/ thermlc fluid heater(withoutresin plant),Wood and Leather,6.0,130,22/06/2022,13/07/2022,Yet to Start Construction,Yes,General
Wanaparthy,Ghanpur,Anpahad (D),M/s Sri Laxmi Venkateshwara Rice Mill,Rice mill (Rice hullers only),Food Processing,0.45,10,03/07/2022,13/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Asifnagar,GEMINI GRANITES,Granite / Stone Cutting and Polishing,Others,0.33,15,29/06/2022,13/07/2022,Yet to Start Construction,Yes,OBC
Yadadri,Bibinagar,Kondamadugu,"M/s S R Enterprises.,Unit-I","Lubricating oil, greases or petroleum based products (only blending at nomad temperature)",Pharmaceuticals and Chemicals,0.35,1,01/07/2022,13/07/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Saroornagar,Nadargul (Rural),MRD PROJECTS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.8626,15,27/07/2020,12/07/2022,Yet to Start Construction,Yes,SC
Mahabubabad,Kuravi,Upparagudem,""" M/s SRI SEETHA RAMA INDUSTRIES """,Manufacture of Egg Trays,Others,0.08,9,11/07/2022,12/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/s Chemic Life Sciences Private Limited (CRC),Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,1.0,10,23/06/2022,12/07/2022,Yet to Start Construction,Yes,General
Nagarkurnool,Achampet,Achampet,M/s SRI LAXMI NARASIMHA SWAMY INDUSTRIES,Parboiled Rice Mills,Food Processing,1.99,10,09/06/2022,12/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Pragathinagar,Pura Labs,Pharmaceuticals,Pharmaceuticals and Chemicals,0.15,4,22/06/2022,12/07/2022,Yet to Start Construction,Yes,OBC
Jangaon,Raghunathpalle,Govardhanagiri,SHAKTI MILK AND MILK PRODUCTS,Milk processes and dairyproducts(integrated project),Food Processing,2.49,100,12/07/2022,12/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,POOJA PLASTICS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,5.2989,18,23/06/2022,12/07/2022,Yet to Start Construction,Yes,General
Sircilla,Konaraopeta,Kolanur,M/s. FESTIVE FOODS AND OILS,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,0.24,10,18/06/2022,12/07/2022,Yet to Start Construction,Yes,General
Sircilla,Ellanthakunta,Kandikatkoor,M/s. Rajarajeshwara Cement Bricks,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8,04/07/2022,12/07/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Sultanpur,M/S. STIC-ON PAPERS PRIVATE LIMITED,Synthetic resins,Pharmaceuticals and Chemicals,11.73,94,09/07/2022,12/07/2022,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Bollaram,Global Bio Mass Briquettes,Biomass briquettes (sun drying) without using toxic hazardous wastes,Agro based incl Cold Storages,0.25,4,08/07/2022,12/07/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,UMA INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.78,8,21/06/2022,12/07/2022,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Pashamylaram,JYOTI TTURBO POWER SERVICES PRIVATE LIMITED,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,6.7,18,31/05/2022,12/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,HARITHA POLY PRODUCTS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,20,07/07/2022,12/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,SRI V H INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.22,6,05/07/2022,12/07/2022,Yet to Start Construction,Yes,General
Hanumakonda,Bheemadevarpalle,Bheemadevarpalle,M/s SRINIKA CONSTRUCTIONS,Stone crushers,Granite and Stone Crushing,0.7,10,06/07/2022,11/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,HARIKA ENTERPRISES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.24,20,07/07/2022,11/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Jammikunta,Jammikunta,SRI LAXMI NARSIMHA GENERAL & ENG. WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.125,4,25/06/2022,11/07/2022,Yet to Start Construction,Yes,OBC
Kamareddy,Kamareddy,Kamareddy ( U ),KVK GROUP,Handloom/ carpet weaving ( without dying and bleaching operation),Textiles,0.052,5,30/06/2022,11/07/2022,Yet to Start Construction,Yes,ST
Yadadri,Choutuppal,Dandumalkapur,TIRUMALA INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.81,20,21/01/2022,11/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. TECHNOCORE PRECAST PLANT & MACHINERY SERVICES,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,15,27/06/2022,09/07/2022,Yet to Start Construction,Yes,OBC
Suryapet,Ananthagiri,Singavaram,PARAMESWARA GRANITES,Granite / Stone Cutting and Polishing,Others,0.25,15,25/06/2022,09/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Karimnaga Rural,Arepalli,ANJALI INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.25,10,18/06/2022,08/07/2022,Yet to Start Construction,Yes,SC
Jangaon,Raghunathpalle,Kanchanpalle,Rithwik mineral water plant,Mineralized water,Beverages,0.029,1,29/06/2022,08/07/2022,Yet to Start Construction,Yes,OBC
Jangaon,Devaruppula,Devaruppula,Sri Laxmi narasimha swamy wood works,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.01,1,30/06/2022,08/07/2022,Yet to Start Construction,Yes,OBC
Jagtial,Jagtial,Polasa,SRI LAXMI NARSIMHA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.17,1,24/06/2022,08/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Shamirpet,Shamirpet,Medplus Health Services Limited,"Soap manufacturing (hand made,without steam boiling / boiler)",Pharmaceuticals and Chemicals,0.05,30,07/07/2022,08/07/2022,Yet to Start Construction,Yes,OBC
Bhadradri Kothagudem,Laxmidevipally,Laxmidevipally,M/S. AMMA PURIFIED DRINKING WATER,Mineralized water,Beverages,0.06,2,24/06/2022,08/07/2022,Yet to Start Construction,Yes,SC
Wanaparthy,Wanaparthy,Achutapur,M/s Sri Raja Rajeshwari Agro Bio Fuels,Biomass briquettes (sun drying) without using toxic hazardous wastes,Agro based incl Cold Storages,0.4,10,07/07/2022,08/07/2022,Yet to Start Construction,Yes,General
Nirmal,Bhainsa,Wanalpahad,M/S. JAI HANUMAN CEMENT BRICKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.16,3,02/07/2022,08/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Timmapur (LMD Colony),Polampalle,M/s. SHIVA RUDRA ENGINEERING WORK SHOP,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1,4,28/06/2022,08/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Huzurabad,Huzurabad,M/s. VARALAXMI INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.25,15,06/07/2022,08/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Keesara,Rampally,M/S. RAJA RAJESWARI PHARMA PACK,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,5,27/06/2022,08/07/2022,Yet to Start Construction,Yes,General
Vikarabad,Yelal,Rasoolpur,BHAVANI SAWMILL,Saw mills,Wood and Leather,0.07,5,27/06/2022,08/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Dulapalle,M/S.SUMANTH INDUSTRIES,Wire drawing and wire netting,Engineering,0.7191,5,06/06/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,SAHASRA INTERIORS AND INFRA,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.4473,10,22/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,SRI MARUTHI ENGINEERING INDUSTRIES,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,4.05,20,24/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Bhupalpally,Regonda,Chinnakodepaka,M/s. Sai Krishna Fly Ash Bricks,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.195,6,02/07/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Balanagar,Balanagar,CYGNI ENERGY PRIVATE LIMITED,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.35,75,06/07/2022,07/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Khazipur,RAKA GRANITES,Granite / Stone Cutting and Polishing,Others,0.32,15,27/06/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Khazipur,SHREE BALAJI STONEX,Granite / Stone Cutting and Polishing,Others,0.27,15,27/06/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Bhadradri Kothagudem,Julurpad,Padamata Narsapuram,M/s. SRI LAKSHMI VASAVI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.6,5,25/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Peddapalli,Kamanpur,Begumpet,SAI GANESH ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.21,5,27/06/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,M/s Dr. Reddy’s Laboratories Limited ( TDC-II),Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,47.3,20,20/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Vikarabad,Kulkacharla,Mujahidpur,VENKATESHWARA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.6781,12,11/04/2022,07/07/2022,Yet to Start Construction,Yes,General
Sangareddy,Sadasivpet,Maddikunta,Arene Life Sciences (Unit-3) Pvt. Ltd.,Pharmaceuticals,Pharmaceuticals and Chemicals,60.0,1300,16/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Kamareddy,Jukkal,Chinna Edgi,Hanmanth Rao Flour Mill,Flour mills (dry process),Food Processing,0.016,1,04/07/2022,07/07/2022,Yet to Start Construction,Yes,General
Sircilla,Konaraopeta,Nizamabad,M/s. SRI ANNAPOORNA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.25,8,15/04/2022,07/07/2022,Yet to Start Construction,Yes,General
Jagtial,Kathlapur,Thakkallapalle,M/s. VENU INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.2368,10,23/06/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Jagtial,Metpalle,Kondrikarla,M/s.MUKUNDH RICE MILL,Rice mill (Rice hullers only),Food Processing,0.52,12,23/06/2022,07/07/2022,Yet to Start Construction,Yes,OBC
Nagarkurnool,Thimmajipet,Gummakonda,DHANALAXMI INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.75,20,07/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Siddipet,Dubbak,Pedda Gundavelly,VISHALAKSHI INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.95,10,18/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Nalgonda,Nakrekal,Nakrekal,SAMSTHAN UPVC WINDOWS & DOORS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.15,6,27/06/2022,07/07/2022,Yet to Start Construction,Yes,General
Vikarabad,Mominpet,Mekavanampalle,CHERIESH BUILDING SYSTEMS PVT. LTD.,Paint blending-and mixing (Ball mill),Pharmaceuticals and Chemicals,6.3,10,23/06/2022,06/07/2022,INITIAL STAGE,Yes,General
Khammam,Sathupalle,Bethupalle,MOULALI GRAND MART INDIA PRIVATE LIMITED,Foam manufacturing,Pharmaceuticals and Chemicals,7.64,25,05/03/2022,06/07/2022,Yet to Start Construction,Yes,OBC
Kamareddy,Kamareddy,Lingapur (R),NEW ROYAL SAW MILL,Saw mills,Wood and Leather,0.25,20,30/06/2022,06/07/2022,Yet to Start Construction,Yes,General
Bhadradri Kothagudem,Palwancha,Palwancha,sruthi industries,Manufacture of Egg Trays,Others,0.7,16,28/06/2022,06/07/2022,Yet to Start Construction,Yes,OBC
Suryapet,Kodad,Dorakunta,SRI YVS BEVERAGES PVT LTD,Mineralized water,Beverages,0.95,1,01/07/2022,06/07/2022,Yet to Start Construction,Yes,General
Warangal,Warangal,RAMANNAPET,AGAPE INDUSTRIES,Ply-board manufacturing (includingVeneer and laminate) with oil firedboiler/ thermlc fluid heater(withoutresin plant),Wood and Leather,0.07,4,28/06/2022,06/07/2022,Yet to Start Construction,Yes,OBC
Hyderabad,Hyderabad,HYDERABAD,M/s. Fortune Motorcars Private Limited,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,21.0,48,04/07/2022,05/07/2022,COMMENCED OPERATIONS,Yes,General
Sangareddy,Zahirabad,Chiragpally,M/s. Sri Sai Sirisha Traders,Reprocessing of waste plastic Including PVC,Plastic and Rubber,0.1,8,20/06/2022,05/07/2022,Yet to Start Construction,Yes,General
Vikarabad,Bomraspet,Burhanpur,SHRI KETAKI SANGAMESHWARA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.1925,6,27/06/2022,05/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,ARCE Polymers Pvt Ltd.,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,7.0,5,24/06/2022,05/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,ROHAN MEDICARE PVT LTD,Surgical and medical products assembling only (not involving effluent / emission generating processes),Others,4.4959,50,23/12/2021,05/07/2022,Yet to Start Construction,Yes,General
Sircilla,Yellareddipet,Yellareddypet,M/s. RAGHAVENDRA TRADERS & REPACKINGS,Food and food processing including fruits and vegetable processing,Food Processing,0.15,6,28/06/2022,05/07/2022,Yet to Start Construction,Yes,General
Sircilla,Konaraopeta,Kolanur,M/s. LAXMI VENKATA RAMANA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.52,12,23/06/2022,05/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Khazipur,SHIRISHA ROCKS,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,15,05/07/2022,05/07/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,DK PUBLICATIONS,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,4.2041,8,12/06/2022,05/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Huzurabad,Thummanapalle,M/s. Meghana Stone Crusher,Stone crushers,Granite and Stone Crushing,0.984,15,11/12/2017,05/07/2022,COMMENCED OPERATIONS,Yes,General
Khammam,Khammam (Rural),Kondapuram,M/s. ANU RAGHAVA COLD STORAGE PRIVATE LIMITED,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,9.9428,4,20/06/2022,05/07/2022,Yet to Start Construction,Yes,General
Medchal,Dundigal Gandimaisamma,Gagilapur,LNG ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1,5,24/06/2022,05/07/2022,Yet to Start Construction,Yes,OBC
Siddipet,Siddipet,Pullur,OM JAI KISAN SEED.CO,Seed processing by Solar drying,Others,0.21,5,23/06/2022,05/07/2022,YET TO START CONSTRUCTION,Yes,OBC
Wanaparthy,Kothakota,Dantanoor,M/s Sree Venkateshwara Industries,Rice mill (Rice hullers only),Food Processing,0.825,10,22/06/2022,04/07/2022,Yet to Start Construction,Yes,General
Sircilla,Chandurthi,Yangal,M/s. SRI RAGHAVENDRA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.52,12,23/06/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Sircilla,Konaraopeta,Kolanur,M/s. VINAYAKA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.5,12,22/06/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Warangal,Geesugonda,Gorrekunta (Rural),"""M/s MOHANA AGRO FOODS PRODUCT""",Spice grinding (upto-20 HP motor),Food Processing,3.3,9,28/06/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Khammam,Kusumanchi,Kusumanchi,RITHANYA CASHEW INDUSTRY,Cashew nut processing,Food Processing,0.15,4,27/06/2022,04/07/2022,Yet to Start Construction,Yes,General
Jagtial,Velgatoor,Velgatoor,M/S.GANGOTHRI WATER PLANT,Mineralized water,Beverages,0.12,4,20/06/2022,04/07/2022,YET TO START CONSTRUCTION,Yes,General
Rangareddy,Hayathnagar,Gowrelli,SRI GAYATHRI INFRA CONCRETE,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,5,01/07/2022,04/07/2022,Yet to Start Construction,Yes,SC
Medchal,Uppal,Nacharam,RAJADHANI INDUSTRIES,Organic and inorganic nutrients ( by physical mixing),"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.25,5,02/07/2022,04/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,D.R. PLASTICS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,5,01/07/2022,04/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,BRP PRODUCT,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,5,01/07/2022,04/07/2022,Yet to Start Construction,Yes,General
Nagarkurnool,Vangoor,Sarvareddipalle,BHAGEERATHA NUTRIENTS AND FERTILIZERS LLP,Fertilizer (granulation/ formulation/ Blending only),"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.245,5,01/07/2022,04/07/2022,Yet to Start Construction,Yes,General
Nalgonda,Chandam Pet,Polepally - Gannerpalli,SRI VEERANJANEYA INDUSTRIES,Ground nut decorticating,Agro based incl Cold Storages,1.0,4,08/06/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Medak,Shivampet,Nawabpet,"M/s Sushi Animal Nutrition Private Limited, Unit-I","Slaughter house (as pernotification S.O.270(E)dated26.03.2001)and meat processingindustries, bone mill, processing of animal horn, hoofs and other body parts",Food Processing,11.83,25,13/05/2022,04/07/2022,Yet to Start Construction,Yes,General
Medak,Manoharabad,Kucharam,SREE SAANVI POLYPACK,"Gravure printing, digital printing on flex, vinyl",Paper and Printing,2.8333,20,09/06/2022,04/07/2022,INITIAL STAGE,Yes,General
Karimnagar,Ganneruvaram,Gunukula Kondapur,SATHYA AGRO FARMS,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.25,10,20/04/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Kamanpur,UMA STONE CRUSHER,Stone crushers,Granite and Stone Crushing,2.4,15,29/01/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Karimnagar,Irukulla,M/s. PASHA MANGO FRUIT COMPANY GODOWN,"Industrial estates/ parks/ complexes/ areas, Export Processing Zones (EPZs), Special Economic Zones (SEZs), Biotech parks, Leather complexes","Real Estate,Industrial Parks and IT Buildings",0.2263,8,21/06/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Huzurabad,Huzurabad,M/s. SRI LAXMI VENKATESHWARA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.245,10,17/06/2022,04/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Karimnagar,Karimnagar,VIGNYA SRI FENCING,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.225,4,27/06/2022,03/07/2022,Yet to Start Construction,Yes,OBC
Siddipet,Siddipet,Mittapalle,AGROLOGIX CROP CARE,Fertilizer (granulation/ formulation/ Blending only),"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.2,8,07/06/2022,03/07/2022,YET TO START CONSTRUCTION,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,M/S. SRI MURALI KRISHNA ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,30/06/2022,03/07/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Jinnaram,Khazipally,PRANEETH INNOVATIVES LLP UNIT-V,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,9,21/06/2022,03/07/2022,Yet to Start Construction,Yes,General
Medak,Ramayampet,Dongal Dharmaram,M/S SRI VENKATESHWARAA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.95,10,23/06/2022,03/07/2022,Yet to Start Construction,Yes,General
